config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_inplace,1024,52,2.8615220853365386,0.05599174616886993,2.7569901216947112,3.1209959810697114,2851.3635,3505.7855999999974,5132.766389999999
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_dmatrix,128,171,7.005480857090643,0.08774963450292361,6.839987298976608,7.558217013888889,875.791,974.922,1420.8316000000002
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,64,211,10.240328569312796,0.3430978969194314,9.980375962677725,10.778923059834124,651.291,717.09,887.3974000000011
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,16384,6,1.4185836791992188,0.05964328511555972,1.3717225036621095,1.5660594685872395,22647.681,29753.372000000003,33741.877299999986
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_onnx,16,1361,6.82992174871418,0.12251862141807557,6.760625872520206,7.257719691403381,106.403,127.3015,160.49609999999996
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,1,3000,19.494163,0.7774760000000036,19.304605333333335,24.392175333333334,19.047,28.190449999999995,33.488169999999975
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_booster,4096,5,10.103679003906251,0.28648107910156106,9.59886767578125,10.522598681640625,41243.139,44071.649,47056.02038
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,128,175,8.459018482142858,1.5896145312499996,6.433867589285715,9.388713080357144,851.539,2039.1707999999999,2908.04924
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,1024,24,6.073808959960937,0.2812622273763017,5.975974202473958,6.591492635091146,6153.425499999999,7744.088349999999,8438.22184
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,16,178,52.69661657303371,1.4067343749999992,51.4296018258427,58.174446629213485,825.219,1073.5274499999978,1253.8175899999999
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_inplace,4,435,89.58834252873564,2.9071123563218464,84.02848505747126,105.01096666666666,336.984,514.4134,871.0104799999965
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_booster,64,253,9.426719552865611,0.30077834733201314,9.281427865612647,10.237073184288539,592.91,767.6598000000004,850.2766599999999
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_onnx,64,372,6.4417812920026885,0.20374924395161287,6.3250249495967745,6.844058467741935,403.4825,515.12215,606.07645
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_sklearn,16,302,31.991650662251658,10.530993791390728,31.210024834437085,44.548691432119206,506.9545,740.4963,1331.70612
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_dmatrix,16,222,41.65919791666666,1.693098676801803,40.716669200450454,46.529086711711706,648.048,739.6619000000001,1720.0088000000005
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_onnx,512,35,8.259756919642857,0.5276545479910713,7.889163783482143,9.706003236607144,4171.167,5613.705399999997,7445.1319999999905
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,4,135,180.00007407407406,14.941299074074095,174.9248388888889,277.44306851851854,710.629,1073.1118000000001,1374.299240000001
