config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_booster,32,107,37.68445794392523,4.081467873831777,35.097065712616825,40.898624707943924,1128.603,1670.802,1979.1715200000003
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_onnx,128,52,23.568468599759616,2.3909984224759633,21.61797010216346,28.29308683894231,2862.9465,4256.2546999999995,4909.373629999998
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_onnx,16,307,30.31736828175896,10.038819421824108,26.500679763843646,51.48719503257329,459.201,928.3482,1285.1218399999968
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_onnx,32,115,41.842975815217386,1.7475226902173944,36.61146059782609,46.69490842391305,1279.097,1664.1908,3060.8897999999976
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_dmatrix,32,58,55.83468642241379,7.4147677801724114,50.47160290948276,69.96972737068965,1690.2115,2719.44485,3744.9821199999997
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_onnx,256,16,33.6354208984375,2.6414509277343754,21.54959912109375,38.3041142578125,8307.152,10409.705750000001,11857.733
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_dmatrix,4,172,209.2073284883721,9.599031249999996,200.6159215116279,226.0051773255814,796.389,1169.9970999999998,1664.7488399999986
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_sklearn,128,63,18.51761259920635,0.939153955853179,16.975142609126987,19.553009052579363,2239.342,3173.982599999999,3796.838040000007
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_sklearn,128,29,42.24164493534482,3.524667564655168,39.71006923491379,44.504677532327584,5122.746,6623.432399999997,7874.651879999999
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_dmatrix,512,21,13.533947916666666,1.1342901785714279,12.854549107142857,15.00485779389881,6658.17,8185.423000000001,10869.934299999995
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_inplace,64,120,20.387253385416663,1.5897460937500014,19.064864322916666,22.357528515625,1248.6555,1901.0337999999997,2229.1082499999998
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_onnx,1024,6,34.17296549479166,13.884983235677083,22.112938313802083,37.13022054036458,34359.954,39691.9365,41872.11714999999
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_booster,16384,5,35.373652514648434,5.216190539550787,31.540762792968753,44.42666724853516,565120.252,745009.6865,808646.05042
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_onnx,4,988,37.32213739878542,5.584094003036434,35.207247975708505,43.447574139676114,139.5,235.0759,427.80105
